star_sInd,star_Name,star_L,star_dist,star_Spec,h_star_char_comp_mean,h_star_char_comp_std,h_star_char_comp_sem,h_star_char_comp_nEns,h_star_char_earth_cume_mean,h_star_char_earth_cume_std,h_star_char_earth_cume_sem,h_star_char_earth_cume_nEns,h_star_char_earth_frac_mean,h_star_char_earth_frac_std,h_star_char_earth_frac_sem,h_star_char_earth_frac_nEns,h_star_char_earth_uniq_mean,h_star_char_earth_uniq_std,h_star_char_earth_uniq_sem,h_star_char_earth_uniq_nEns,h_star_char_earth_value_mean,h_star_char_earth_value_std,h_star_char_earth_value_sem,h_star_char_earth_value_nEns,h_star_char_plan_cume_mean,h_star_char_plan_cume_std,h_star_char_plan_cume_sem,h_star_char_plan_cume_nEns,h_star_char_plan_frac_mean,h_star_char_plan_frac_std,h_star_char_plan_frac_sem,h_star_char_plan_frac_nEns,h_star_char_plan_uniq_mean,h_star_char_plan_uniq_std,h_star_char_plan_uniq_sem,h_star_char_plan_uniq_nEns,h_star_char_plan_value_mean,h_star_char_plan_value_std,h_star_char_plan_value_sem,h_star_char_plan_value_nEns,h_star_char_tInt_mean,h_star_char_tInt_std,h_star_char_tInt_sem,h_star_char_tInt_nEns,h_star_char_tIntAvg_mean,h_star_char_tIntAvg_std,h_star_char_tIntAvg_sem,h_star_char_tIntAvg_nEns,h_star_char_tobs1_mean,h_star_char_tobs1_std,h_star_char_tobs1_sem,h_star_char_tobs1_nEns,h_star_char_visit_mean,h_star_char_visit_std,h_star_char_visit_sem,h_star_char_visit_nEns,h_star_det_comp_mean,h_star_det_comp_std,h_star_det_comp_sem,h_star_det_comp_nEns,h_star_det_earth_cume_mean,h_star_det_earth_cume_std,h_star_det_earth_cume_sem,h_star_det_earth_cume_nEns,h_star_det_earth_frac_mean,h_star_det_earth_frac_std,h_star_det_earth_frac_sem,h_star_det_earth_frac_nEns,h_star_det_earth_uniq_mean,h_star_det_earth_uniq_std,h_star_det_earth_uniq_sem,h_star_det_earth_uniq_nEns,h_star_det_earth_value_mean,h_star_det_earth_value_std,h_star_det_earth_value_sem,h_star_det_earth_value_nEns,h_star_det_plan_cume_mean,h_star_det_plan_cume_std,h_star_det_plan_cume_sem,h_star_det_plan_cume_nEns,h_star_det_plan_frac_mean,h_star_det_plan_frac_std,h_star_det_plan_frac_sem,h_star_det_plan_frac_nEns,h_star_det_plan_uniq_mean,h_star_det_plan_uniq_std,h_star_det_plan_uniq_sem,h_star_det_plan_uniq_nEns,h_star_det_plan_value_mean,h_star_det_plan_value_std,h_star_det_plan_value_sem,h_star_det_plan_value_nEns,h_star_det_tInt_mean,h_star_det_tInt_std,h_star_det_tInt_sem,h_star_det_tInt_nEns,h_star_det_tIntAvg_mean,h_star_det_tIntAvg_std,h_star_det_tIntAvg_sem,h_star_det_tIntAvg_nEns,h_star_det_tobs1_mean,h_star_det_tobs1_std,h_star_det_tobs1_sem,h_star_det_tobs1_nEns,h_star_det_visit_mean,h_star_det_visit_std,h_star_det_visit_sem,h_star_det_visit_nEns,h_star_earth_per_star_mean,h_star_earth_per_star_std,h_star_earth_per_star_sem,h_star_earth_per_star_nEns,h_star_plan_per_star_mean,h_star_plan_per_star_std,h_star_plan_per_star_sem,h_star_plan_per_star_nEns,h_star_promo_allplan_mean,h_star_promo_allplan_std,h_star_promo_allplan_sem,h_star_promo_allplan_nEns,h_star_promo_earth_mean,h_star_promo_earth_std,h_star_promo_earth_sem,h_star_promo_earth_nEns,h_star_promo_hzone_mean,h_star_promo_hzone_std,h_star_promo_hzone_sem,h_star_promo_hzone_nEns
10,HIP 1292,0.67,17.5,G6V,nan,nan,nan,0,0.0,0.0,0.0,100,0.0,0.0,0.0,22,0.0,0.0,0.0,100,nan,nan,nan,0,0.0,0.0,0.0,100,0.0,0.0,0.0,22,0.0,0.0,0.0,100,nan,nan,nan,0,0.0,0.0,0.0,100,nan,nan,nan,0,nan,nan,nan,0,0.0,0.0,0.0,100,nan,nan,nan,0,0.0,0.0,0.0,100,0.0,0.0,0.0,22,0.0,0.0,0.0,100,nan,nan,nan,0,0.0,0.0,0.0,100,0.0,0.0,0.0,22,0.0,0.0,0.0,100,nan,nan,nan,0,0.0,0.0,0.0,100,nan,nan,nan,0,nan,nan,nan,0,0.0,0.0,0.0,100,0.29,0.6079440431453862,0.06079440431453862,100,0.29,0.6079440431453862,0.06079440431453862,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
11,HIP 1349,0.89,22.6,G2V,nan,nan,nan,0,0.0,0.0,0.0,100,0.0,0.0,0.0,24,0.0,0.0,0.0,100,nan,nan,nan,0,0.0,0.0,0.0,100,0.0,0.0,0.0,24,0.0,0.0,0.0,100,nan,nan,nan,0,0.0,0.0,0.0,100,nan,nan,nan,0,nan,nan,nan,0,0.0,0.0,0.0,100,nan,nan,nan,0,0.0,0.0,0.0,100,0.0,0.0,0.0,24,0.0,0.0,0.0,100,nan,nan,nan,0,0.0,0.0,0.0,100,0.0,0.0,0.0,24,0.0,0.0,0.0,100,nan,nan,nan,0,0.0,0.0,0.0,100,nan,nan,nan,0,nan,nan,nan,0,0.0,0.0,0.0,100,0.27,0.5096047190685837,0.05096047190685837,100,0.27,0.5096047190685837,0.05096047190685837,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
12,HIP 1368,0.12,15.0,M0V,nan,nan,nan,0,0.0,0.0,0.0,100,0.0,0.0,0.0,23,0.0,0.0,0.0,100,nan,nan,nan,0,0.0,0.0,0.0,100,0.0,0.0,0.0,23,0.0,0.0,0.0,100,nan,nan,nan,0,0.0,0.0,0.0,100,nan,nan,nan,0,nan,nan,nan,0,0.0,0.0,0.0,100,nan,nan,nan,0,0.0,0.0,0.0,100,0.0,0.0,0.0,23,0.0,0.0,0.0,100,nan,nan,nan,0,0.0,0.0,0.0,100,0.0,0.0,0.0,23,0.0,0.0,0.0,100,nan,nan,nan,0,0.0,0.0,0.0,100,nan,nan,nan,0,nan,nan,nan,0,0.0,0.0,0.0,100,0.24,0.4521553322083517,0.04521553322083517,100,0.24,0.4521553322083517,0.04521553322083517,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
13,HIP 1475,0.02,3.57,M2V,0.31484616759264233,0.133658042500404,0.0267316085000808,25,0.27,0.4893822120745193,0.048938221207451935,100,0.9259259259259259,0.26688025634181195,0.05136112928011382,27,0.27,0.4893822120745193,0.048938221207451935,100,0.3554792680866622,0.18511922896922572,0.03702384579384514,25,0.27,0.4893822120745193,0.048938221207451935,100,0.9259259259259259,0.26688025634181195,0.05136112928011382,27,0.27,0.4893822120745193,0.048938221207451935,100,0.3554792680866622,0.18511922896922572,0.03702384579384514,25,0.984544204446864,2.0768431898076694,0.20768431898076695,100,3.938176817787456,2.382368383187083,0.4764736766374166,25,172.81675415835852,59.58856373745985,11.91771274749197,25,0.25,0.4351941398892446,0.04351941398892446,100,0.6446434650241515,0.017641788539112444,0.0017641788539112444,100,0.75,1.3055824196677337,0.13055824196677338,100,0.8888888888888888,0.2886751345948129,0.05555555555555556,27,0.25,0.4351941398892446,0.04351941398892446,100,0.1865458620310926,0.35103659869618925,0.03510365986961893,100,0.75,1.3055824196677337,0.13055824196677338,100,0.8888888888888888,0.2886751345948129,0.05555555555555556,27,0.25,0.4351941398892446,0.04351941398892446,100,0.1865458620310926,0.35103659869618925,0.03510365986961893,100,3.2651880175707904,0.982900549313961,0.0982900549313961,100,0.9067028541190351,0.12881823036202988,0.012881823036202989,100,74.9359147852491,43.95933816619985,4.395933816619985,100,3.72,1.5047399855930024,0.15047399855930024,100,0.29,0.49838121792844303,0.0498381217928443,100,0.29,0.49838121792844303,0.0498381217928443,100,0.25,0.4351941398892446,0.04351941398892446,100,0.25,0.4351941398892446,0.04351941398892446,100,0.25,0.4351941398892446,0.04351941398892446,100
14,HIP 1499,1.28,23.25,G5V,nan,nan,nan,0,0.0,0.0,0.0,100,0.0,0.0,0.0,27,0.0,0.0,0.0,100,nan,nan,nan,0,0.0,0.0,0.0,100,0.0,0.0,0.0,27,0.0,0.0,0.0,100,nan,nan,nan,0,0.0,0.0,0.0,100,nan,nan,nan,0,nan,nan,nan,0,0.0,0.0,0.0,100,nan,nan,nan,0,0.0,0.0,0.0,100,0.0,0.0,0.0,27,0.0,0.0,0.0,100,nan,nan,nan,0,0.0,0.0,0.0,100,0.0,0.0,0.0,27,0.0,0.0,0.0,100,nan,nan,nan,0,0.0,0.0,0.0,100,nan,nan,nan,0,nan,nan,nan,0,0.0,0.0,0.0,100,0.29,0.498381217928443,0.049838121792844296,100,0.29,0.498381217928443,0.049838121792844296,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
15,HIP 1598,0.9,24.8,G0V,nan,nan,nan,0,0.0,0.0,0.0,100,0.0,0.0,0.0,23,0.0,0.0,0.0,100,nan,nan,nan,0,0.0,0.0,0.0,100,0.0,0.0,0.0,23,0.0,0.0,0.0,100,nan,nan,nan,0,0.0,0.0,0.0,100,nan,nan,nan,0,nan,nan,nan,0,0.0,0.0,0.0,100,nan,nan,nan,0,0.0,0.0,0.0,100,0.0,0.0,0.0,23,0.0,0.0,0.0,100,nan,nan,nan,0,0.0,0.0,0.0,100,0.0,0.0,0.0,23,0.0,0.0,0.0,100,nan,nan,nan,0,0.0,0.0,0.0,100,nan,nan,nan,0,nan,nan,nan,0,0.0,0.0,0.0,100,0.26,0.5049252369900863,0.050492523699008626,100,0.26,0.5049252369900863,0.050492523699008626,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
16,HIP 1599,1.33,8.59,G0V,0.5680435956046309,0.0629320225873284,0.0157330056468321,16,0.16,0.3684529491774709,0.03684529491774709,100,0.9117647058823529,0.26429706993546215,0.06410145505206873,17,0.16,0.3684529491774709,0.03684529491774709,100,0.16741269021547234,0.10596279250320867,0.026490698125802167,16,0.16,0.3684529491774709,0.03684529491774709,100,0.9117647058823529,0.26429706993546215,0.06410145505206873,17,0.16,0.3684529491774709,0.03684529491774709,100,0.16741269021547234,0.10596279250320867,0.026490698125802167,16,1.641556482135083,5.055482577399513,0.5055482577399513,100,10.259728013344269,8.62365340532563,2.1559133513314075,16,710.3862565720863,322.21394695694323,80.55348673923581,16,0.16,0.3684529491774709,0.03684529491774709,100,0.5980300524151997,0.013484683554813748,0.0013484683554813748,100,0.51,1.1677051654999868,0.11677051654999868,100,1.0,0.0,0.0,17,0.18,0.4114522199392411,0.041145221993924105,100,0.21552923771811425,0.5608198170582424,0.056081981705824235,100,0.51,1.1677051654999868,0.11677051654999868,100,1.0,0.0,0.0,17,0.18,0.4114522199392411,0.041145221993924105,100,0.21552923771811425,0.5608198170582424,0.056081981705824235,100,1.2993171844422482,0.806384229809745,0.0806384229809745,100,0.35910512377615444,0.08801525363272548,0.008801525363272548,100,7.027457443458355,3.3156346231997245,0.33156346231997247,100,3.46,1.3811135896350994,0.13811135896350996,100,0.18,0.4114522199392411,0.041145221993924105,100,0.18,0.4114522199392411,0.041145221993924105,100,0.16,0.3684529491774709,0.03684529491774709,100,0.16,0.3684529491774709,0.03684529491774709,100,0.16,0.3684529491774709,0.03684529491774709,100
17,HIP 1803,1.09,20.86,G3V,nan,nan,nan,0,0.0,0.0,0.0,100,0.0,0.0,0.0,22,0.0,0.0,0.0,100,nan,nan,nan,0,0.0,0.0,0.0,100,0.0,0.0,0.0,22,0.0,0.0,0.0,100,nan,nan,nan,0,0.0,0.0,0.0,100,nan,nan,nan,0,nan,nan,nan,0,0.0,0.0,0.0,100,nan,nan,nan,0,0.0,0.0,0.0,100,0.0,0.0,0.0,22,0.0,0.0,0.0,100,nan,nan,nan,0,0.0,0.0,0.0,100,0.0,0.0,0.0,22,0.0,0.0,0.0,100,nan,nan,nan,0,0.0,0.0,0.0,100,nan,nan,nan,0,nan,nan,nan,0,0.0,0.0,0.0,100,0.24,0.49482166974424774,0.04948216697442477,100,0.24,0.49482166974424774,0.04948216697442477,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
18,HIP 1837,0.21,22.17,K4V,nan,nan,nan,0,0.0,0.0,0.0,100,0.0,0.0,0.0,22,0.0,0.0,0.0,100,nan,nan,nan,0,0.0,0.0,0.0,100,0.0,0.0,0.0,22,0.0,0.0,0.0,100,nan,nan,nan,0,0.0,0.0,0.0,100,nan,nan,nan,0,nan,nan,nan,0,0.0,0.0,0.0,100,nan,nan,nan,0,0.0,0.0,0.0,100,0.0,0.0,0.0,22,0.0,0.0,0.0,100,nan,nan,nan,0,0.0,0.0,0.0,100,0.0,0.0,0.0,22,0.0,0.0,0.0,100,nan,nan,nan,0,0.0,0.0,0.0,100,nan,nan,nan,0,nan,nan,nan,0,0.0,0.0,0.0,100,0.23,0.44619604333847374,0.044619604333847374,100,0.23,0.44619604333847374,0.044619604333847374,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
19,HIP 1936,0.26,18.22,K2V,nan,nan,nan,0,0.0,0.0,0.0,100,0.0,0.0,0.0,32,0.0,0.0,0.0,100,nan,nan,nan,0,0.0,0.0,0.0,100,0.0,0.0,0.0,32,0.0,0.0,0.0,100,nan,nan,nan,0,0.0,0.0,0.0,100,nan,nan,nan,0,nan,nan,nan,0,0.0,0.0,0.0,100,nan,nan,nan,0,0.0,0.0,0.0,100,0.0,0.0,0.0,32,0.0,0.0,0.0,100,nan,nan,nan,0,0.0,0.0,0.0,100,0.0,0.0,0.0,32,0.0,0.0,0.0,100,nan,nan,nan,0,0.0,0.0,0.0,100,nan,nan,nan,0,nan,nan,nan,0,0.0,0.0,0.0,100,0.37,0.5800557270337452,0.05800557270337452,100,0.37,0.5800557270337452,0.05800557270337452,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
