ensemble,obsnum,name,sind,pind,n_earth,n_success,is_success,is_deep,is_promo,WA,dMag,phi,char_SNR,MV
10185257,99,HIP 49908,369,0,1,1,1,0,1,69.83638742221531,22.894972923586433,0.2380579279877774,5.3629777403865315,5.66416309317761
10185257,129,HIP 19849,156,0,1,1,1,0,1,183.95248422356454,23.620835333839516,0.4659473525777656,5.361602395550792,4.258023487803837
10185257,192,HIP 7981,64,0,1,1,1,0,1,103.27076760571296,23.78595076155939,0.5573786611776586,5.355547089287492,5.03373023616421
10185257,194,HIP 23693,184,0,1,1,1,0,1,119.3972412644269,24.85963073899252,0.6264693407695561,5.359885764480161,4.692827824719031
10185257,196,HIP 99240,740,0,1,1,1,0,1,241.45301100729114,25.296026078666458,0.4276395698961559,5.361744321607885,3.4505769487950566
10185257,221,HIP 15457,124,0,1,1,1,0,1,26.51561803790262,31.133191098355482,0.0010924549240393631,5.360530214018009,4.773524298293736
10185257,224,HIP 15330,121,0,1,1,1,0,1,98.56595681410975,24.655848532397307,0.3458199030063273,5.361983685177225,5.469990069534671
10185257,293,HIP 51459,380,0,1,1,1,0,1,126.93086677049041,24.966042225797995,0.6945207815626877,5.358641297226315,4.799381064797249
114627190,80,HIP 49908,369,0,1,1,1,0,1,88.3348225848397,22.233936078669224,0.538058558368868,5.362793674040295,5.66416309317761
114627190,92,HIP 105090,777,0,2,2,1,0,1,82.54925756202192,22.625735848062742,0.6924979137069084,5.361410654235004,5.555260510652442
114627190,92,HIP 105090,777,1,2,2,1,0,1,105.60243967049689,22.304425467294656,0.4377687056472923,11.48900698564135,5.555260510652442
114627190,107,HIP 114622,854,0,1,1,1,0,1,44.65020866244817,22.874005148723974,0.8769689100811782,5.3614287862445185,5.179484507035655
114627190,123,HIP 57443,419,0,1,1,1,0,1,102.97697811833395,24.047055190294554,0.5280174153115101,5.363021213126181,4.817408477159228
114627190,131,HIP 87937,650,0,1,1,1,0,1,65.45863569360625,20.344164047149253,0.6176432177203177,5.364054788538566,6.217255448652147
114627190,187,HIP 29295,230,0,2,1,0,0,1,66.9137366456945,23.627918747686213,0.328507281383998,0.0,6.682961097489043
114627190,187,HIP 29295,230,1,2,1,1,0,1,62.788129754371276,21.95761627418055,0.36591873502688416,5.360874845945331,6.682961097489043
114627190,189,HIP 3821 A,33,0,1,1,1,0,1,210.01945427543515,25.10120944358608,0.5610846216020622,5.36117200588817,3.405753985766557
114627190,194,HIP 14632,114,0,2,2,1,0,1,238.08575211922866,26.67875690069273,0.23847060980202647,5.359399809385031,4.011923046957373
114627190,194,HIP 14632,114,1,2,2,1,0,1,168.42686208429876,25.599656611027946,0.3798036917653196,7.218674181122432,4.011923046957373
114627190,269,HIP 26779,211,0,1,1,1,0,1,59.46420574355261,24.362152784422342,0.1838111256905959,5.361706568929696,6.028566823185697
114627190,288,HIP 67155,489,0,3,3,1,0,1,43.40048795402353,22.102764287579213,0.22086055747640446,5.363225640194497,6.990836347212941
114627190,288,HIP 67155,489,1,3,3,1,0,1,41.84558050847313,22.46857816043381,0.10999715122965772,9.236128244015376,6.990836347212941
114627190,288,HIP 67155,489,2,3,3,1,0,1,52.22987157134908,22.658132748302428,0.20005484008169774,6.248687876314283,6.990836347212941
114627190,294,HIP 24813,193,0,1,1,1,0,1,137.7960584374703,25.29631278578578,0.5867639150978183,5.3588984312924115,4.645862242343544
114627190,302,HIP 15457,124,0,1,1,1,0,1,108.12866365148554,25.163835273131134,0.7514105320229477,5.359635314943424,4.773524298293736
114627190,305,HIP 99701,745,0,1,1,1,0,1,43.11026897034839,24.46121285264727,0.07979735225515984,5.36064094379818,6.679213347455628
