h_det_time_lo,h_det_time_hi,h_time_delta_v_char_cume_mean,h_time_delta_v_char_cume_std,h_time_delta_v_char_cume_sem,h_time_delta_v_char_cume_nEns,h_time_delta_v_char_incr_mean,h_time_delta_v_char_incr_std,h_time_delta_v_char_incr_sem,h_time_delta_v_char_incr_nEns,h_time_delta_v_det_cume_mean,h_time_delta_v_det_cume_std,h_time_delta_v_det_cume_sem,h_time_delta_v_det_cume_nEns,h_time_delta_v_det_incr_mean,h_time_delta_v_det_incr_std,h_time_delta_v_det_incr_sem,h_time_delta_v_det_incr_nEns,h_time_delta_v_obs_cume_mean,h_time_delta_v_obs_cume_std,h_time_delta_v_obs_cume_sem,h_time_delta_v_obs_cume_nEns,h_time_delta_v_obs_incr_mean,h_time_delta_v_obs_incr_std,h_time_delta_v_obs_incr_sem,h_time_delta_v_obs_incr_nEns,h_time_delta_v_slew_cume_mean,h_time_delta_v_slew_cume_std,h_time_delta_v_slew_cume_sem,h_time_delta_v_slew_cume_nEns,h_time_delta_v_slew_incr_mean,h_time_delta_v_slew_incr_std,h_time_delta_v_slew_incr_sem,h_time_delta_v_slew_incr_nEns,h_time_char_cume_mean,h_time_char_cume_std,h_time_char_cume_sem,h_time_char_cume_nEns,h_time_char_incr_mean,h_time_char_incr_std,h_time_char_incr_sem,h_time_char_incr_nEns,h_time_det_cume_mean,h_time_det_cume_std,h_time_det_cume_sem,h_time_det_cume_nEns,h_time_det_incr_mean,h_time_det_incr_std,h_time_det_incr_sem,h_time_det_incr_nEns,h_time_fuel_all_mean,h_time_fuel_all_std,h_time_fuel_all_sem,h_time_fuel_all_nEns,h_time_fuel_keep_mean,h_time_fuel_keep_std,h_time_fuel_keep_sem,h_time_fuel_keep_nEns,h_time_fuel_slew_mean,h_time_fuel_slew_std,h_time_fuel_slew_sem,h_time_fuel_slew_nEns,h_time_slew_cume_mean,h_time_slew_cume_std,h_time_slew_cume_sem,h_time_slew_cume_nEns,h_time_slew_incr_mean,h_time_slew_incr_std,h_time_slew_incr_sem,h_time_slew_incr_nEns
0.0,30.5,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
30.5,61.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.008979713292128292,0.06715283446526152,0.006715283446526152,100,0.008979713292128292,0.06715283446526152,0.006715283446526152,100,9.80473886603391,0.2029287885938892,0.020292878859388918,100,9.80473886603391,0.2029287885938892,0.020292878859388918,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
61.0,91.5,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.008979713292128292,0.06715283446526152,0.006715283446526152,100,0.0,0.0,0.0,100,20.75740971790901,0.3244922028600238,0.032449220286002375,100,10.952670851875098,0.3687074536740574,0.03687074536740574,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
91.5,122.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.11261721079607634,0.43368985265461835,0.04336898526546183,100,0.10363749750394806,0.4306477166478595,0.04306477166478595,100,31.47306678911178,0.5804715587084145,0.05804715587084145,100,10.715657071202768,0.5578360403151084,0.055783604031510836,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
122.0,152.5,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.18192598907891985,0.46600893343111666,0.04660089334311167,100,0.06930877828284347,0.17126722051355636,0.017126722051355635,100,42.339544161153974,0.6488037987645643,0.06488037987645642,100,10.866477372042173,0.5721393208620347,0.05721393208620347,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
152.5,183.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.8682960933899649,1.8489080371551483,0.18489080371551483,100,0.686370104311045,1.8294618280613562,0.18294618280613562,100,52.167043297875225,0.9625697415222341,0.09625697415222341,100,9.827499136721272,0.8849404634464691,0.08849404634464691,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
183.0,213.5,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,1.5362149421096487,3.472364077501693,0.3472364077501693,100,0.6679188487196838,1.9827866674816463,0.19827866674816463,100,62.51628027273116,2.297007159958452,0.2297007159958452,100,10.349236974855915,1.6441599946481074,0.16441599946481072,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
213.5,244.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,2.8940047183135107,5.681322446354644,0.5681322446354644,100,1.3577897762038622,4.306796511520643,0.4306796511520643,100,72.78679053995918,4.114132422471583,0.41141324224715825,100,10.27051026722807,2.7218060368369037,0.27218060368369035,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
244.0,274.5,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,4.748494174296208,8.565973660254736,0.8565973660254735,100,1.8544894559826963,4.231682660918347,0.42316826609183467,100,82.41257192063135,5.898947219103599,0.5898947219103599,100,9.62578138067212,2.8748863564700007,0.28748863564700006,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
274.5,305.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,6.63658872271528,9.46971181305085,0.946971181305085,100,1.8880945484190752,4.375675040723856,0.43756750407238554,100,91.7022917487019,7.146539124153183,0.7146539124153183,100,9.289719828070563,3.1768242203868353,0.3176824220386835,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
