h_event_b0_duration_lo,h_event_b0_duration_hi,h_event_b1_duration_lo,h_event_b1_duration_hi,h_event_b2_duration_lo,h_event_b2_duration_hi,h_event_char_b0_duration_mean,h_event_char_b0_duration_std,h_event_char_b0_duration_sem,h_event_char_b0_duration_nEns,h_event_char_b0_duration_q25,h_event_char_b0_duration_q50,h_event_char_b0_duration_q75,h_event_char_b1_duration_mean,h_event_char_b1_duration_std,h_event_char_b1_duration_sem,h_event_char_b1_duration_nEns,h_event_char_b1_duration_q25,h_event_char_b1_duration_q50,h_event_char_b1_duration_q75,h_event_char_b2_duration_mean,h_event_char_b2_duration_std,h_event_char_b2_duration_sem,h_event_char_b2_duration_nEns,h_event_char_b2_duration_q25,h_event_char_b2_duration_q50,h_event_char_b2_duration_q75,h_event_det_b1_duration_mean,h_event_det_b1_duration_std,h_event_det_b1_duration_sem,h_event_det_b1_duration_nEns,h_event_det_b1_duration_q25,h_event_det_b1_duration_q50,h_event_det_b1_duration_q75,h_event_det_b2_duration_mean,h_event_det_b2_duration_std,h_event_det_b2_duration_sem,h_event_det_b2_duration_nEns,h_event_det_b2_duration_q25,h_event_det_b2_duration_q50,h_event_det_b2_duration_q75,h_event_slew_b0_duration_mean,h_event_slew_b0_duration_std,h_event_slew_b0_duration_sem,h_event_slew_b0_duration_nEns,h_event_slew_b0_duration_q25,h_event_slew_b0_duration_q50,h_event_slew_b0_duration_q75,h_event_slew_b1_duration_mean,h_event_slew_b1_duration_std,h_event_slew_b1_duration_sem,h_event_slew_b1_duration_nEns,h_event_slew_b1_duration_q25,h_event_slew_b1_duration_q50,h_event_slew_b1_duration_q75,h_event_slew_b2_duration_mean,h_event_slew_b2_duration_std,h_event_slew_b2_duration_sem,h_event_slew_b2_duration_nEns,h_event_slew_b2_duration_q25,h_event_slew_b2_duration_q50,h_event_slew_b2_duration_q75
0.0,2.0,0.0,1.0,0.0,0.041666666666666664,0.09808589082486137,0.053980080259510614,0.005398008025951062,100,0.06076388888888889,0.1,0.13636363636363635,0.1292350215144332,0.08811508156003466,0.008811508156003466,100,0.08173076923076923,0.125,0.2,0.0,0.0,0.0,100,0.0,0.0,0.0,0.45518552819016844,0.028182425522577194,0.0028182425522577195,100,0.4361260426320667,0.4545385132246045,0.4715794398418773,0.27213330053788165,0.10685339444366729,0.01068533944436673,100,0.22256727792331507,0.2315112540192926,0.2472152438735365,0.5,0.0,0.0,100,0.5,0.5,0.5,1.0,0.0,0.0,100,1.0,1.0,1.0,24.0,0.0,0.0,100,24.0,24.0,24.0
2.0,4.0,1.0,2.0,0.041666666666666664,0.08333333333333333,0.044613806944689284,0.046169839952290924,0.0046169839952290926,100,0.0,0.041666666666666664,0.06473214285714285,0.06693676013528954,0.06773240242443092,0.0067732402424430915,100,0.0,0.07142857142857142,0.125,0.0,0.0,0.0,100,0.0,0.0,0.0,0.2521527379926668,0.024274099925453187,0.0024274099925453187,100,0.23296966339924233,0.2524164724164724,0.27083393242271747,0.644875578508603,0.19542414741473219,0.019542414741473217,100,0.5835866261398176,0.6105067335301493,0.691205325498495,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0
4.0,6.0,2.0,3.0,0.08333333333333333,0.125,0.044865506633888975,0.043909590019092525,0.004390959001909252,100,0.0,0.041666666666666664,0.07142857142857142,0.03524427370015606,0.050747603895586975,0.005074760389558697,100,0.0,0.0,0.07692307692307693,0.06227106227106225,0.36335143304023954,0.03633514330402395,100,0.0,0.0,0.0,0.1093969748618287,0.020246429896445216,0.002024642989644522,100,0.09338110125835847,0.10876933336987603,0.12213714700996678,0.8634551520395413,0.24348936871037594,0.024348936871037594,100,0.6781129191266878,0.8314981251116003,0.9905063291139239,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0
6.0,8.0,3.0,4.0,0.125,0.16666666666666666,0.025856335249717595,0.03357512781530182,0.003357512781530182,100,0.0,0.0,0.05555555555555555,0.053983340189222545,0.07260090669998309,0.007260090669998309,100,0.0,0.0,0.1,0.10653613053613058,0.428622007621546,0.0428622007621546,100,0.0,0.0,0.0,0.07784209644198997,0.017364022117440026,0.0017364022117440027,100,0.06420595214858799,0.07833086045136603,0.08904773954116059,0.6190038324086071,0.22439562465778237,0.02243956246577824,100,0.44617295747730534,0.5145590994371483,0.790771837161792,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0
8.0,10.0,4.0,5.0,0.16666666666666666,0.20833333333333331,0.02349548082636317,0.0333787977285108,0.00333787977285108,100,0.0,0.0,0.041666666666666664,0.04635390997890999,0.07270154862523276,0.007270154862523276,100,0.0,0.0,0.08333333333333333,0.10447619047619051,0.4755116951512946,0.04755116951512946,100,0.0,0.0,0.0,0.06012128262205993,0.01539783806692301,0.001539783806692301,100,0.049464239187076604,0.06097617653346718,0.07126271561256081,0.5634193723305763,0.22029588419838372,0.02202958841983837,100,0.47324068598462454,0.5376013762595233,0.6545454545454548,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0
10.0,12.0,5.0,6.0,0.20833333333333331,0.25,0.023416126765391468,0.0327364790834801,0.00327364790834801,100,0.0,0.0,0.045454545454545456,0.043377103288868,0.06114304750400549,0.006114304750400549,100,0.0,0.0,0.08333333333333333,0.4726460206460205,0.991179466340116,0.0991179466340116,100,0.0,0.0,0.0,0.02508099409406442,0.009435376500565433,0.0009435376500565434,100,0.01834862385321101,0.024844720496894408,0.03140542165382303,0.38188163296408606,0.17058620388933593,0.017058620388933594,100,0.29493295695130545,0.37914786567104564,0.44072340104205976,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0
12.0,14.0,6.0,7.0,0.25,0.29166666666666663,0.01949129546923665,0.030880025239804515,0.0030880025239804513,100,0.0,0.0,0.03926282051282051,0.021374171580053936,0.04356919528313867,0.004356919528313867,100,0.0,0.0,0.0,0.25636630036630054,0.8241971380264306,0.08241971380264305,100,0.0,0.0,0.0,0.013550393380983974,0.006858935795673701,0.00068589357956737,100,0.009295269947443861,0.01313632441760138,0.018575851393188854,0.19888520057393072,0.15493526605708663,0.015493526605708663,100,0.08034290271132384,0.16410304362055278,0.24428810253552546,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0
14.0,16.0,7.0,8.0,0.29166666666666663,0.3333333333333333,0.021782904595404596,0.02974265226143179,0.002974265226143179,100,0.0,0.0,0.04261363636363636,0.03033849891938127,0.05283448460608728,0.005283448460608728,100,0.0,0.0,0.06473214285714285,0.22838961038961028,0.7085110452746747,0.07085110452746747,100,0.0,0.0,0.0,0.004929182617163939,0.004794463013167648,0.0004794463013167648,100,0.0,0.0032949018586069133,0.0073299687575102135,0.6339173777110454,0.20388420662702875,0.020388420662702876,100,0.512980675385516,0.620434755371797,0.7420206569853223,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0
16.0,18.0,8.0,9.0,0.3333333333333333,0.375,0.0176082936671172,0.028337244634678287,0.0028337244634678285,100,0.0,0.0,0.038461538461538464,0.028400728356610706,0.051885407827572394,0.005188540782757239,100,0.0,0.0,0.060784313725490195,0.12314285714285708,0.5112002915753181,0.05112002915753181,100,0.0,0.0,0.0,0.0013414286677746157,0.0020353553357658166,0.00020353553357658165,100,0.0,0.0,0.003098378939676557,0.336020336613426,0.15297478277754087,0.015297478277754087,100,0.24122412241224112,0.3037974683544302,0.38065677194969044,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0
18.0,20.0,9.0,10.0,0.375,0.41666666666666663,0.013422024462465638,0.025289989346245254,0.0025289989346245255,100,0.0,0.0,0.029871323529411763,0.01859023329611565,0.043273046067639626,0.0043273046067639626,100,0.0,0.0,0.0,0.14008924408924422,0.5204504807904562,0.05204504807904562,100,0.0,0.0,0.0,0.00033798702438143295,0.0010633952122855986,0.00010633952122855985,100,0.0,0.0,0.0,0.6753674954370068,0.22475481366603328,0.02247548136660333,100,0.5120012114787618,0.6539290391099477,0.7793370686495268,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0
20.0,22.0,10.0,11.0,0.41666666666666663,0.4583333333333333,0.017819576257076263,0.028886640612674076,0.002888664061267408,100,0.0,0.0,0.038461538461538464,0.021109444477091538,0.047423911907449594,0.004742391190744959,100,0.0,0.0,0.0,0.16086489980607616,0.6612748861475043,0.06612748861475043,100,0.0,0.0,0.0,6.13941069178842e-05,0.0004324201557032739,4.3242015570327387e-05,100,0.0,0.0,0.0,0.8096914641733602,0.1731176889949137,0.01731176889949137,100,0.6900958466453672,0.7843137254901957,0.9010273972602736,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0
22.0,24.0,11.0,12.0,0.4583333333333333,0.5,0.01236854811854812,0.024585316640685393,0.0024585316640685392,100,0.0,0.0,0.0,0.02572280905369141,0.049896027251712785,0.004989602725171278,100,0.0,0.0,0.013888888888888888,0.22620779220779208,0.6584245557994364,0.06584245557994364,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.3721794203708241,0.15882782684678437,0.015882782684678437,100,0.24553756745537558,0.32766031801502693,0.4493012627076435,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0
24.0,26.0,12.0,13.0,0.5,0.5416666666666666,0.007920565545565547,0.021436336522809556,0.0021436336522809556,100,0.0,0.0,0.0,0.017959530665413018,0.04033655190175216,0.0040336551901752156,100,0.0,0.0,0.0,0.11866666666666678,0.4834945742891064,0.04834945742891064,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.31359611478481086,0.1619401161163189,0.01619401161163189,100,0.21785323110624338,0.29091176227513593,0.3937661777394309,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0
26.0,28.0,13.0,14.0,0.5416666666666666,0.5833333333333333,0.012097298534798535,0.02250569034243941,0.002250569034243941,100,0.0,0.0,0.0,0.021023060273060275,0.04508604845194617,0.004508604845194617,100,0.0,0.0,0.0,0.24850635638870952,0.6970992487485599,0.06970992487485599,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.4522850432906141,0.1786051585767602,0.01786051585767602,100,0.317357964447543,0.42628908911940677,0.5689592577652285,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0
