h_det_time_lo,h_det_time_hi,h_visit_char_revi_mean,h_visit_char_revi_std,h_visit_char_revi_sem,h_visit_char_revi_nEns,h_visit_char_uniq_mean,h_visit_char_uniq_std,h_visit_char_uniq_sem,h_visit_char_uniq_nEns,h_visit_char_visit_mean,h_visit_char_visit_std,h_visit_char_visit_sem,h_visit_char_visit_nEns,h_visit_det_revi_mean,h_visit_det_revi_std,h_visit_det_revi_sem,h_visit_det_revi_nEns,h_visit_det_uniq_mean,h_visit_det_uniq_std,h_visit_det_uniq_sem,h_visit_det_uniq_nEns,h_visit_det_visit_mean,h_visit_det_visit_std,h_visit_det_visit_sem,h_visit_det_visit_nEns
0.0,30.5,0.0,0.0,0.0,100,0.02,0.1407052941362896,0.01407052941362896,100,0.02,0.1407052941362896,0.01407052941362896,100,1.24,0.4292346959909283,0.04292346959909283,100,26.61,0.5842201051942079,0.05842201051942079,100,27.85,0.5924610544247626,0.05924610544247626,100
30.5,61.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,2.77,0.9412542674323424,0.09412542674323424,100,10.77,0.6794977348874478,0.06794977348874479,100,13.54,1.1048104184003982,0.11048104184003982,100
61.0,91.5,0.0,0.0,0.0,100,0.07,0.2564323999762428,0.02564323999762428,100,0.07,0.2564323999762428,0.02564323999762428,100,8.81,1.2447465362048373,0.12447465362048374,100,6.63,0.9811866655877832,0.09811866655877832,100,15.44,0.9354953314429286,0.09354953314429286,100
91.5,122.0,0.0,0.0,0.0,100,0.23,0.46828722947879886,0.04682872294787989,100,0.23,0.46828722947879886,0.04682872294787989,100,7.63,1.3307171302752812,0.13307171302752813,100,5.16,0.8130252769810419,0.08130252769810419,100,12.79,1.0852081678999508,0.10852081678999508,100
122.0,152.5,0.0,0.0,0.0,100,0.52,0.6110100926607787,0.061101009266077866,100,0.52,0.6110100926607787,0.061101009266077866,100,15.06,2.444618910211082,0.24446189102110819,100,1.85,0.6723244767373876,0.06723244767373876,100,16.91,2.243261514452167,0.2243261514452167,100
152.5,183.0,0.0,0.0,0.0,100,0.28,0.4731156136066359,0.04731156136066359,100,0.28,0.4731156136066359,0.04731156136066359,100,12.89,2.21972334248476,0.221972334248476,100,0.08,0.2726599243442909,0.027265992434429093,100,12.97,2.199426004091692,0.21994260040916921,100
183.0,213.5,0.0,0.0,0.0,100,0.2,0.4494665749754943,0.04494665749754943,100,0.2,0.4494665749754943,0.04494665749754943,100,8.16,2.277336739760422,0.2277336739760422,100,1.86,1.3334848398770105,0.13334848398770105,100,10.02,2.5064764595791127,0.2506476459579113,100
213.5,244.0,0.0,0.0,0.0,100,0.36,0.5416025603090642,0.05416025603090642,100,0.36,0.5416025603090642,0.05416025603090642,100,9.13,2.827194776280951,0.28271947762809513,100,0.64,0.8821461433242327,0.08821461433242327,100,9.77,2.8027944208693865,0.28027944208693867,100
244.0,274.5,0.0,0.0,0.0,100,0.36,0.559942276967326,0.0559942276967326,100,0.36,0.559942276967326,0.0559942276967326,100,9.48,3.223900642627709,0.3223900642627709,100,0.97,1.0195562512656915,0.10195562512656915,100,10.45,3.331438855582502,0.3331438855582502,100
274.5,305.0,0.0,0.0,0.0,100,0.34,0.5359782899266793,0.05359782899266793,100,0.34,0.5359782899266793,0.05359782899266793,100,9.17,3.330468465849842,0.3330468465849842,100,0.28,0.6678776879493777,0.06678776879493778,100,9.45,3.2640527575455036,0.32640527575455036,100
305.0,335.5,0.0,0.0,0.0,100,0.21,0.4333333333333335,0.04333333333333335,100,0.21,0.4333333333333335,0.04333333333333335,100,5.34,2.6863666273548095,0.2686366627354809,100,2.05,1.7371461561068389,0.17371461561068388,100,7.39,2.685144316419511,0.2685144316419511,100
335.5,366.0,0.0,0.0,0.0,100,0.45,0.5751591786697668,0.057515917866976685,100,0.45,0.5751591786697668,0.057515917866976685,100,5.2,2.860387767736777,0.2860387767736777,100,1.36,1.2187093686570742,0.12187093686570742,100,6.56,3.0461766066976352,0.30461766066976353,100
366.0,396.5,0.0,0.0,0.0,100,0.31,0.5448565745851716,0.054485657458517155,100,0.31,0.5448565745851716,0.054485657458517155,100,4.55,3.0727706051573707,0.30727706051573705,100,1.64,1.935943901015416,0.1935943901015416,100,6.19,3.7408339155646018,0.3740833915564602,100
396.5,427.0,0.0,0.0,0.0,100,0.27,0.4682872294787993,0.04682872294787993,100,0.27,0.4682872294787993,0.04682872294787993,100,3.66,2.458627357866272,0.2458627357866272,100,0.97,1.2346430392398584,0.12346430392398584,100,4.63,2.676704592357452,0.2676704592357452,100
